공원명,지역,위도,경도,면적,분류,크기
남산도시자연공원,중구,37.5501402,126.9903773,2896887,대형,15
길동생태공원,강동구,37.5403935,127.1547791,80683,소형,3
서울대공원,과천시,37.4264494,127.01984650000001,9132690,대형,15
서울숲,성동구,37.5430717,127.0417982,480994,중형,7
월드컵공원,마포구,37.571805,126.87890700000001,2284085,대형,15
광화문시민열린마당,종로구,37.575044899999995,126.9780227,8948,소형,3
진관근린공원(구파발폭포),은평구,37.6370244,126.9192155,7,소형,3
중마루근린공원,영등포구,37.519832,126.9112668,6456,소형,3
응봉공원,성동구,37.5572281,127.0217653,80309,소형,3
매화근린공원,강서구,37.5575833,126.86115,1980,소형,3
성수근린공원,성동구,37.5448144,127.05240230000001,5197,소형,3
샛마을근린공원,강동구,37.5504807,127.1471618,11467,소형,3
여의도근린공원,영등포구,37.526129,126.922377,229539,중형,7
간데메근린공원,동대문구,37.57324379999999,127.04886440000001,15179,소형,3
훈련원근린공원,중구,37.5675245,127.0038188,16734,소형,3
영등포근린공원,영등포구,37.515423,126.91066200000002,61544,소형,3
보라매근린공원,동작구,37.492333,126.91828899999999,424106,중형,7
어린이대공원,광진구,37.5498987,127.0809212,560552,중형,7
천호근린공원,강동구,37.5444741,127.1263451,26696,소형,3
용산가족공원,용산구,37.522226,126.98333500000001,75900,소형,3
독립근린공원,서대문구,37.5738289,126.956771,113021,중형,7
낙산근린공원,종로구,37.580477,127.00758700000002,201779,중형,7
양재시민의숲,서초구,37.471225,127.03504199999999,258991,중형,7
관악산도시자연공원,관악구,37.445208,126.96413000000001,10420819,대형,15
효창근린공원,용산구,37.545234,126.95993,171294,중형,7
감로천생태공원(관악산),금천구,37.469625,126.9079509,15000,소형,3
개운산근린공원,성북구,37.596583700000004,127.0252858,297926,중형,7
개웅산근린공원,구로구,37.4888943,126.84857340000002,411972,중형,7
경희궁,종로구,37.570772999999996,126.9685341,98470,소형,3
국립현충원,동작구,37.4998621,126.97368490000001,2038741,대형,15
계남근린공원,양천구,37.513835799999995,126.84796429999999,603715,중형,7
고척근린공원,구로구,37.5042944,126.85214950000001,108120,중형,7
파리근린공원,양천구,37.5349739,126.87639320000001,29619,소형,3
허준공원,강서구,37.5679874,126.8526745,29843,소형,3
궁동근린공원,서대문구,37.5690506,126.9229851,126026,중형,7
궁산근린공원,강서구,37.5735645,126.838952,135002,중형,7
까치산근린공원,동작구,37.4845836,126.96407350000001,384026,중형,7
꿩고개근린공원,강서구,37.5801585,126.8157075,180000,중형,7
노량진공원,동작구,37.510234000000004,126.928607,416031,중형,7
답십리근린공원,동대문구,37.5750896,127.0626512,160720,중형,7
대모산도시자연공원,강남구,37.4796489,127.0809639,2277252,대형,15
탑골근린공원,종로구,37.5710052,126.98828529999999,19599,소형,3
갈산근린공원,양천구,37.5082119,126.8689146,138596,중형,7
천마근린공원,송파구,37.5005173,127.1586644,185295,중형,7
도곡근린공원,강남구,37.490312700000004,127.0450338,254648,중형,7
도산근린공원,강남구,37.524675200000004,127.03502959999999,29816,소형,3
청량공원,성북구,37.6020055,127.0511145,762642,중형,7
초안산근린공원,도봉구,37.648315999999994,127.0455446,664905,중형,7
동명근린공원,강동구,37.5598341,127.1676703,99599,소형,3
마로니에공원,종로구,37.5802295,127.00278859999999,5802,소형,3
자매근린공원,영등포구,37.5177329,126.9302895,16500,소형,3
장지근린공원,송파구,37.4957083,127.1387,585652,중형,7
명일근린공원,강동구,37.553714299999996,127.16136409999999,649709,중형,7
방화근린공원,강서구,37.5819812,126.8132285,72132,소형,3
아시아근린공원,송파구,37.5102779,127.0762885,66027,소형,3
배봉산근린공원,동대문구,37.5812324,127.06416229999999,265582,중형,7
안산도시자연공원,서대문구,37.5798246,126.9390273,2088704,대형,15
염창근린공원,강서구,37.55797020000001,126.8689817,112070,중형,7
백련근린공원,서대문구,37.587966200000004,126.92861599999999,993724,중형,7
오금근린공원,송파구,37.5038715,127.13239569999999,219167,중형,7
오동근린공원,강북구,37.6327957,127.03172690000001,1349556,대형,15
봉산도시자연공원,은평구,37.604071000000005,126.90201529999999,1511198,대형,15
온수도시자연공원,구로구,37.5002598,126.83695,1097565,대형,15
봉은공원,강남구,37.5139026,127.05549609999998,328018,중형,7
올림픽공원,송파구,37.520934000000004,127.12295900000001,1447122,대형,15
와룡근린공원,종로구,37.59079439999999,126.9901672,207790,중형,7
봉화산근린공원,중랑구,37.6106404,127.0923625,1018689,대형,15
북악산도시자연공원,종로구,37.5929992,126.97372949999999,954553,중형,7
북한산국립공원,강북구,37.624549,127.00093799999999,1667848,대형,15
외국인묘지공원,마포구,37.546797,126.911414,13224,소형,3
불광근린공원,은평구,37.6188016,126.9298962,130345,중형,7
